date,open,high,low,close,volume
2019-01-02,51.02,51.39,48.98,49.17,85554.45
2019-01-03,49.26,49.87,47.98,48.06,83477.6
2019-01-04,47.8,51.0,47.51,50.65,126537.87
2019-01-07,50.85,51.88,50.0,51.39,136045.5
2019-01-08,52.3,53.64,52.05,52.88,147051.57
2019-01-09,51.8,53.0,48.5,50.46,262205.3
2019-01-10,49.9,50.19,48.64,48.85,153455.9
2019-01-11,48.5,49.29,48.38,49.02,96799.55
2019-01-14,49.2,49.21,47.31,48.8,109746.34
2019-01-15,48.39,48.96,47.85,48.8,83530.65
2019-01-16,48.8,49.12,48.32,48.93,65923.79
2019-01-17,48.9,48.91,47.33,47.49,98743.78
2019-01-18,47.49,47.49,46.04,46.82,125995.91
2019-01-21,46.76,48.26,46.12,48.21,131233.26
2019-01-22,48.06,48.8,47.6,47.7,84093.77
2019-01-23,47.42,48.88,47.33,48.8,96619.67
2019-01-24,48.93,48.97,47.66,48.52,71711.59
2019-01-25,48.55,49.64,48.19,49.18,100929.16
2019-01-28,49.2,49.85,48.28,48.46,86253.59
2019-01-29,48.45,48.45,47.03,48.0,61503.17
2019-01-30,47.95,48.27,46.9,47.15,83426.14
2019-01-31,47.1,47.49,46.27,46.42,71885.09
2019-02-01,46.75,48.31,46.51,48.27,91780.0
2019-02-11,48.8,50.33,48.8,50.2,128870.65
2019-02-12,50.21,51.15,49.88,50.58,102991.51
2019-02-13,50.58,52.09,50.32,51.57,122964.82
2019-02-14,51.85,54.06,51.85,53.72,169124.15
2019-02-15,53.4,53.4,51.52,51.67,152915.89
2019-02-18,51.93,52.79,51.64,52.45,168184.85
2019-02-19,52.5,52.66,50.99,51.74,144364.53
2019-02-20,51.8,52.8,51.54,52.36,124998.99
2019-02-21,52.3,53.01,51.56,51.94,126055.57
2019-02-22,51.8,51.88,50.9,51.88,119677.84
2019-02-25,51.88,55.13,51.5,55.06,258382.09
2019-02-26,57.2,58.67,56.44,56.74,291995.5
2019-02-27,56.2,56.25,54.15,54.96,228542.62
2019-02-28,55.12,55.22,54.16,54.51,94237.38
2019-03-01,54.88,54.98,52.88,53.8,174562.53
2019-03-04,54.0,54.79,52.73,53.68,302258.1
2019-03-05,53.66,54.23,53.0,54.08,196305.91
2019-03-06,54.5,54.96,53.5,54.44,220521.78
2019-03-07,54.1,54.1,53.01,53.38,182839.43
2019-03-08,53.0,53.0,51.05,51.12,185281.5
2019-03-11,51.1,52.48,51.1,52.37,126196.5
2019-03-12,52.4,52.88,51.71,51.99,138615.48
2019-03-13,51.78,52.77,51.3,52.0,127209.68
2019-03-14,52.01,55.15,52.01,54.57,350367.43
2019-03-15,55.05,56.2,54.13,55.39,255425.62
2019-03-18,55.5,56.44,55.39,55.66,154589.09
2019-03-19,56.15,56.66,55.51,55.99,124059.88
2019-03-20,56.25,56.67,54.85,55.4,122722.7
2019-03-21,55.4,55.98,54.64,55.05,109001.92
2019-03-22,55.15,57.58,54.99,57.0,173032.54
2019-03-25,56.0,57.97,55.72,56.5,124562.02
2019-03-26,57.0,57.55,55.08,55.25,105549.04
2019-03-27,54.77,56.55,53.7,54.71,147450.06
2019-03-28,55.65,55.66,52.5,52.77,167947.28
2019-03-29,52.86,53.56,52.16,53.49,128353.96
2019-04-01,53.54,54.79,53.3,54.45,160698.15
2019-04-02,54.61,54.98,54.0,54.68,128436.6
2019-04-03,54.71,54.9,54.17,54.39,101702.57
2019-04-04,54.54,55.64,54.42,55.19,147706.21
2019-04-08,55.48,55.62,52.9,53.44,165600.19
2019-04-09,53.55,55.3,53.55,54.93,133048.7
2019-04-10,54.95,56.3,53.67,55.52,176454.57
2019-04-11,55.78,57.4,54.73,54.93,183873.02
2019-04-12,54.75,54.75,53.67,54.09,89460.41
2019-04-15,54.46,55.24,53.33,53.54,100201.48
2019-04-16,53.54,57.05,53.3,56.73,210095.7
2019-04-17,58.1,62.4,58.1,62.4,491714.14
2019-04-18,62.3,62.31,58.9,59.32,314696.52
2019-04-19,59.01,61.8,58.51,60.13,174364.29
2019-04-22,60.0,60.13,57.19,57.71,152524.84
2019-04-23,57.75,57.91,56.61,56.96,99685.87
2019-04-24,57.44,58.17,56.65,58.15,112922.85
2019-04-25,57.7,57.7,56.0,56.16,92924.85
2019-04-26,56.09,56.59,55.13,55.36,82089.26
2019-04-29,56.5,56.98,55.45,55.65,105128.2
2019-04-30,55.55,56.9,55.25,56.9,79274.23
2019-05-06,54.88,55.28,51.84,52.05,135543.64
2019-05-07,52.42,53.58,52.07,53.01,85742.47
2019-05-08,52.03,53.32,51.41,51.85,98147.03
2019-05-09,51.9,52.25,50.67,51.11,74263.9
2019-05-10,51.86,52.32,49.7,52.26,90465.03
2019-05-13,52.2,52.2,50.5,51.02,64960.77
2019-05-14,50.45,51.0,50.1,50.19,62974.78
2019-05-15,50.61,51.33,50.33,51.29,68026.85
2019-05-16,51.25,51.89,51.2,51.47,58377.0
2019-05-17,51.3,51.45,50.0,50.22,67504.82
